段,3.8082
令,3.8079
刚刚,3.8077
案子,3.8071
行动,3.8065
第二,3.8048
努力,3.8035
害怕,3.8025
酒,3.802
发,3.8009
调查,3.8006
失去,3.8003
歌,3.8
成功,3.7997
唱,3.7993
考虑,3.799
刚才,3.798
约会,3.7971
节目,3.7961
通过,3.7935
之间,3.7932
别的,3.7931
学,3.793
开心,3.7925
母亲,3.792
辆,3.7917
主意,3.7885
探,3.7882
丈夫,3.7864
待,3.7855
变成,3.7855
倒,3.7848
离,3.7845
解释,3.7845
往,3.7841
万,3.7804
联系,3.7797
派,3.7782
关,3.778
证明,3.7772
句,3.777
五,3.7711
生命,3.7707
有点,3.7706
靠,3.7701
解决,3.77
办公室,3.7695
难道,3.769
作为,3.7682
奇怪,3.7659
生,3.7646
由,3.7634
男,3.7616
极了,3.7613
同意,3.7603
如,3.7594
游戏,3.7583
帮忙,3.7578
指,3.7573
危险,3.7567
讨厌,3.7552
曾经,3.755
眼睛,3.7538
外面,3.7484
处,3.7464
国家,3.7463
看上去,3.7455
总统,3.7442
间,3.7441
伤害,3.7432
控制,3.7431
最近,3.7429
声音,3.7422
糟,3.7414
快乐,3.7408
偷,3.7404
首,3.7404
可爱,3.7402
进入,3.7396
能够,3.739
事实上,3.7373
哈,3.7372
醒,3.737
分,3.7368
完成,3.7364
部,3.7353
昨晚,3.7351
同,3.7325
医院,3.7317
不行,3.7315
半,3.7315
而已,3.7315
上面,3.7294
样子,3.7273
少,3.7263
有趣,3.7239
提,3.7229
没关系,3.7223
斯,3.7212
杰克,3.7192
真的,3.7189
部分,3.7187
要求,3.7174
糟糕,3.7171
除了,3.7116
容易,3.7115
保持,3.7113
虽然,3.711
办,3.7109
教,3.7099
想到,3.7099
理解,3.7097
证据,3.7091
加,3.7084
脸,3.707
简单,3.7066
不同,3.7065
夫人,3.706
父母,3.7059
重,3.7058
恩,3.7053
曾,3.7034
事实,3.7015
飞机,3.7007
家庭,3.7004
象,3.6999
装,3.6995
秘密,3.6991
法,3.6987
尸体,3.6984
打开,3.698
季,3.6961
检查,3.6961
早上,3.6949
玩笑,3.6931
任务,3.6928
现场,3.6917
使,3.6915
转,3.6888
博士,3.6885
直到,3.6872
紧张,3.6862
二,3.6857
简直,3.6851
放弃,3.6833
小子,3.6829
电视,3.6827
强,3.6825
不好意思,3.6817
大概,3.6816
的确,3.6815
特,3.6805
药,3.6802
回到,3.6801
男孩,3.6793
音乐,3.6791
身体,3.678
血,3.6766
留下,3.6739
方式,3.6731
伤,3.6729
怪,3.6726
美元,3.6722
监狱,3.6694
读,3.6685
这边,3.6675
重新,3.6662
瞧,3.666
疯狂,3.6658
收到,3.6632
其中,3.663
片,3.6625
想法,3.6603
纽约,3.6595
家里,3.6593
黑,3.6593
身,3.6557
还要,3.6555
作,3.6533
后面,3.6532
性,3.6525
带来,3.6524
昨天,3.6516
不好,3.6515
抓住,3.6514
记录,3.6513
点儿,3.6505
老兄,3.65
来自,3.6495
越,3.649
大学,3.6488
照顾,3.6485
太太,3.6466
聪明,3.6449
本来,3.6449
加油,3.6445
