Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
淘,11,5.0,220.0,3002.0,3.48
泪,8,2.0,306.0,1268.0,3.1
淡,11,10.0,305.0,1031.0,3.01
淤,11,42.0,276.0,198.0,2.3
净,8,12.0,305.0,3065.0,3.49
沦,7,4.0,218.0,232.0,2.37
淫,11,6.0,220.0,848.0,2.93
深,11,10.0,278.0,8271.0,3.92
淳,11,4.0,219.0,116.0,2.06
渊,11,4.0,278.0,205.0,2.31
混,11,2.0,305.0,14032.0,4.15
淹,11,5.0,278.0,593.0,2.77
浅,8,4.0,262.0,728.0,2.86
添,11,2.0,277.0,845.0,2.93
清,11,9.0,278.0,21660.0,4.34
烹,11,5.0,278.0,301.0,2.48
烽,11,,,22.0,1.34
焉,11,5.0,278.0,167.0,2.22
焊,11,11.0,305.0,171.0,2.23
爽,11,1.0,260.0,2566.0,3.41
牵,9,12.0,278.0,1693.0,3.23
猖,11,,,40.0,1.6
狰,9,,,17.0,1.23
猛,11,4.0,261.0,1386.0,3.14
猜,11,1.0,278.0,9953.0,4.0
猝,11,7.0,304.0,26.0,1.41
率,11,2.0,305.0,2879.0,3.46
现,8,12.0,306.0,137777.0,5.14
球,11,9.0,219.0,24351.0,4.39
理,11,9.0,262.0,41099.0,4.61
瓶,10,11.0,217.0,3303.0,3.52
瓷,10,9.0,219.0,332.0,2.52
甜,11,6.0,219.0,5726.0,3.76
产,6,4.0,260.0,8264.0,3.92
毕,6,25.0,306.0,4624.0,3.67
略,11,2.0,303.0,2210.0,3.34
异,6,37.0,306.0,4933.0,3.69
疏,12,12.0,278.0,823.0,2.92
痊,11,9.0,220.0,195.0,2.29
痔,11,22.0,306.0,46.0,1.66
痕,11,1.0,219.0,2316.0,3.36
皎,11,,,11.0,1.04
盒,11,12.0,219.0,2706.0,3.43
盔,11,3.0,277.0,517.0,2.71
盛,11,5.0,306.0,2683.0,3.43
眷,11,6.0,304.0,138.0,2.14
眺,11,2.0,305.0,22.0,1.34
眼,11,5.0,262.0,19247.0,4.28
众,6,2.0,305.0,7370.0,3.87
着,11,11.0,218.0,117476.0,5.07
硫,12,10.0,220.0,269.0,2.43
祥,10,3.0,220.0,369.0,2.57
票,11,1.0,305.0,12689.0,4.1
祭,11,24.0,306.0,560.0,2.75
移,11,16.0,220.0,4845.0,3.69
窒,11,22.0,306.0,427.0,2.63
竟,11,12.0,305.0,5425.0,3.73
章,11,5.0,277.0,3560.0,3.55
笛,11,9.0,220.0,460.0,2.66
符,11,17.0,220.0,2209.0,3.34
笨,11,1.0,305.0,3993.0,3.6
第,11,10.0,306.0,40665.0,4.61
粒,11,23.0,306.0,636.0,2.8
粗,11,1.0,276.0,1709.0,3.23
粘,11,6.0,219.0,957.0,2.98
累,11,3.0,262.0,3208.0,3.51
细,8,6.0,306.0,6194.0,3.79
绅,8,10.0,278.0,754.0,2.88
绍,8,4.0,306.0,2811.0,3.45
终,8,6.0,277.0,11114.0,4.05
组,8,5.0,261.0,11486.0,4.06
绊,8,7.0,305.0,358.0,2.55
统,9,3.0,262.0,13355.0,4.13
羚,11,19.0,220.0,88.0,1.94
羞,10,5.0,277.0,2136.0,3.33
翌,11,37.0,306.0,22.0,1.34
习,3,9.0,220.0,8048.0,3.91
聆,11,19.0,220.0,243.0,2.39
聊,11,8.0,219.0,7323.0,3.86
脖,11,15.0,220.0,1330.0,3.12
脱,11,4.0,278.0,7945.0,3.9
舵,11,7.0,305.0,182.0,2.26
船,11,3.0,220.0,9979.0,4.0
荷,10,12.0,219.0,1745.0,3.24
荼,10,8.0,220.0,34.0,1.53
庄,6,4.0,276.0,1168.0,3.07
苋,7,12.0,306.0,1.0,0.0
莫,10,13.0,306.0,4987.0,3.7
莽,10,2.0,261.0,280.0,2.45
处,5,4.0,306.0,28742.0,4.46
蚯,11,,,34.0,1.53
蚱,11,,,57.0,1.76
蛀,11,10.0,306.0,52.0,1.72
蛆,11,10.0,277.0,86.0,1.93
蛇,11,3.0,220.0,1676.0,3.22
蛋,11,10.0,305.0,19135.0,4.28
术,5,10.0,306.0,12844.0,4.11
袋,11,10.0,305.0,5787.0,3.76
袒,10,4.0,262.0,107.0,2.03
袖,10,6.0,305.0,1162.0,3.07
袪,10,,,,
被,10,10.0,305.0,70119.0,4.85
规,8,9.0,277.0,7030.0,3.85
觅,8,8.0,306.0,177.0,2.25
讹,6,9.0,219.0,23.0,1.36
讼,6,5.0,305.0,705.0,2.85
诀,6,13.0,218.0,275.0,2.44
访,6,3.0,262.0,3050.0,3.48
设,6,7.0,306.0,9056.0,3.96
许,6,1.0,261.0,44190.0,4.65
豉,11,,,5.0,0.7
贫,8,4.0,220.0,873.0,2.94
货,8,14.0,305.0,5929.0,3.77
贩,8,6.0,306.0,1470.0,3.17
贪,8,5.0,278.0,726.0,2.86
贯,8,8.0,305.0,486.0,2.69
责,8,6.0,217.0,10100.0,4.0
赦,11,7.0,306.0,425.0,2.63
趾,11,11.0,262.0,560.0,2.75
軚,11,,,,
软,8,4.0,259.0,2239.0,3.35
逍,10,,,413.0,2.62
透,10,1.0,305.0,4390.0,3.64
逐,10,5.0,220.0,1663.0,3.22
途,10,8.0,220.0,2728.0,3.44
逗,10,6.0,305.0,1148.0,3.06
这,7,2.0,306.0,633842.0,5.8
通,10,3.0,278.0,26617.0,4.43
逛,10,1.0,305.0,993.0,3.0
