,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
120,入,席,入席,入席,2,10,24269,4.39,3105,3.49,18,1.26,4,9,305,220
121,入,座,入座,入座,2,10,24269,4.39,5753,3.76,34,1.53,4,5,305,304
122,入,时,入時,入时,2,10,24269,4.39,162611,5.21,7,0.85,4,10,305,220
123,入,神,入神,入神,2,10,24269,4.39,22077,4.34,10,1.00,4,2,305,220
124,入,迷,入迷,入迷,2,10,24269,4.39,8172,3.91,32,1.51,4,8,305,220
125,入,院,入院,入院,2,10,24269,4.39,13564,4.13,87,1.94,4,5,305,306
126,入,眼,入眼,入眼,2,11,24269,4.39,19247,4.28,2,0.30,4,5,305,262
127,入,围,入圍,入围,2,12,24269,4.39,5906,3.77,48,1.68,4,13,305,220
128,入,场,入場,入场,2,12,24269,4.39,34746,4.54,104,2.02,4,3,305,262
129,入,会,入會,入会,2,13,24269,4.39,321488,5.51,60,1.78,4,15,305,306
130,入,境,入境,入境,2,14,24269,4.39,4514,3.65,89,1.95,4,12,305,305
131,入,狱,入獄,入狱,2,14,24269,4.39,8440,3.93,246,2.39,4,42,305,276
132,入,睡,入睡,入睡,2,14,24269,4.39,14599,4.16,238,2.38,4,3,305,304
133,入,账,入賬,入账,2,15,24269,4.39,1953,3.29,13,1.11,4,8,305,305
134,入,学,入學,入学,2,16,24269,4.39,41964,4.62,150,2.18,4,1,305,220
135,入,选,入選,入选,2,16,24269,4.39,25419,4.41,122,2.09,4,1,305,261
136,入,殓,入殮,入殓,2,17,24269,4.39,7,0.85,2,0.30,4,7,305,305
137,入,营,入營,入营,2,17,24269,4.39,4472,3.65,,,4,11,305,220
138,入,声,入聲,入声,2,17,24269,4.39,18258,4.26,,,4,6,305,278
139,入,籍,入籍,入籍,2,20,24269,4.39,357,2.55,8,0.90,4,19,305,220
140,入,党,入黨,入党,2,20,24269,4.39,1985,3.30,,,4,3,305,261
141,八,字,八字,八字,2,6,6222,3.79,22743,4.36,17,1.23,7,5,279,305
142,八,成,八成,八成,2,6,6222,3.79,61348,4.79,6,0.78,7,11,279,220
143,八,卦,八卦,八卦,2,8,6222,3.79,512,2.71,468,2.67,7,2,279,305
144,刀,刃,刀刃,刀刃,2,3,4999,3.70,265,2.42,64,1.81,1,6,277,305
145,刀,叉,刀叉,刀叉,2,3,4999,3.70,906,2.96,25,1.40,1,5,277,277
146,刀,口,刀口,刀口,2,3,4999,3.70,21385,4.33,24,1.38,1,1,277,261
147,刀,子,刀子,刀子,2,3,4999,3.70,177693,5.25,351,2.55,1,6,277,261
148,刀,片,刀片,刀片,2,4,4999,3.70,21431,4.33,78,1.89,1,3,277,304
149,刀,尖,刀尖,刀尖,2,6,4999,3.70,2358,3.37,15,1.18,1,16,277,277
150,刀,具,刀具,刀具,2,8,4999,3.70,8138,3.91,30,1.48,1,15,277,306
151,刀,柄,刀柄,刀柄,2,9,4999,3.70,536,2.73,29,1.46,1,4,277,305
152,刀,疤,刀疤,刀疤,2,9,4999,3.70,689,2.84,,,1,7,277,279
153,刀,背,刀背,刀背,2,9,4999,3.70,7930,3.90,2,0.30,1,5,277,277
154,刀,面,刀面,刀面,2,9,4999,3.70,67015,4.83,,,1,2,277,305
